Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
2015,1,1,11,7,1/11/15,AA,19805,AA,N793AA,21,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1845,1847,2,2,0,0,1800-1859,26,1913,2202,22,2211,2224,13,13,0,0,2200-2259,0,,0,386,397,349,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,30,5,1/30/15,AA,19805,AA,N799AA,22,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,1525,1722,117,117,1,7,1500-1559,12,1734,115,5,2347,120,93,93,1,6,2300-2359,0,,0,322,298,281,1,2475,10,0,0,0,0,93,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,14,3,1/14/15,AA,19805,AA,N790AA,24,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,700,654,-6,0,0,-1,0700-0759,21,715,1523,10,1530,1533,3,3,0,0,1500-1559,0,,0,330,339,308,1,2586,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,13,2,1/13/15,AA,19805,AA,N5DVAA,27,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1850,1916,26,26,1,1,1800-1859,11,1927,2006,9,1949,2015,26,26,1,1,1900-1959,0,,0,179,179,159,1,1055,5,26,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,1,4,1/1/15,AA,19805,AA,N568AA,29,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91,1035,,,,,,1000-1059,,,,,1145,,,,,,1100-1159,1,B,0,190,,,1,1188,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,20,2,1/20/15,AA,19805,AA,N475AA,29,13891,1389101,32575,ONT,"Ontario, CA",CA,6,California,91,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,1230,1221,-9,0,0,-1,1200-1259,26,1247,1716,15,1724,1731,7,7,0,0,1700-1759,0,,0,174,190,149,1,1188,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,8,4,1/8/15,AA,19805,AA,N5DEAA,31,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,800,759,-1,0,0,-1,0800-0859,26,825,1203,3,1208,1206,-2,0,0,-1,1200-1259,0,,0,368,367,338,1,2556,11,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,27,2,1/27/15,AA,19805,AA,,32,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,1425,,,,,,1400-1459,,,,,2248,,,,,,2200-2259,1,B,0,323,,,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

2015,1,1,17,6,1/17/15,AA,19805,AA,N784AA,34,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22,800,757,-3,0,0,-1,0800-0859,16,813,1604,11,1634,1615,-19,0,0,-2,1600-1659,0,,0,334,318,291,1,2475,10,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

