CARRIER,ORIGIN,DEST,DEP_TIME,ARR_TIME,DISTANCE,DEP_DEL15
WN,MDW,PVD,1314,1613,842,0
WN,BNA,MDW,730,858,395,0
WN,DAL,OKC,1011,1103,181,0
WN,STL,MCO,2115,18,882,0
WN,HOU,MSY,1943,2045,302,0
WN,MCI,LAX,859,1043,1363,0
WN,PHX,SMF,847,1042,647,0
AA,MIA,DEN,710,930,1709,0
AA,AUS,DFW,1141,1244,190,0
AA,DFW,SMF,901,1047,1431,0
AS,PDX,LAS,756,1003,763,0
B6,PDX,LGB,649,909,846,0
DL,JFK,SAN,2013,2343,2446,1
DL,ATL,TLH,1341,1439,223,0
DL,PHX,DTW,1412,2043,1671,0
AA,AUS,DFW,1031,1130,190,0
DL,ATL,IAD,1100,1235,534,0
B6,BOS,MCO,848,1153,1121,0
EV,EWR,RDU,753,929,416,0
EV,DTW,HSV,1940,2024,554,0
EV,BOS,CLE,926,1127,563,0
HA,HNL,SFO,1349,2154,2398,0
MQ,CLE,ORD,1823,1905,315,0
NK,DFW,ATL,1333,1627,731,0
OO,ONT,IAH,655,1215,1334,0
OO,SDF,MSP,1256,1416,604,0
OO,SEA,LAX,1956,2258,954,0
OO,SLC,EKO,2148,2142,200,0
UA,ORD,OMA,1003,1127,416,1
UA,TPA,ORD,910,1103,1012,0
UA,LAX,KOA,1647,1928,2504,1
US,DCA,TPA,1138,1347,814,0
US,SAN,PHX,1912,2025,304,0
WN,ABQ,LAS,1043,1117,486,0
WN,DCA,STL,1854,2010,719,0
WN,LAX,SJC,1717,1818,308,0
WN,MDW,STL,629,728,251,0
WN,ATL,PHL,2217,12,666,1
WN,PDX,OAK,1258,1437,543,0
WN,SAT,DEN,1857,1959,794,0
WN,HOU,DAL,1458,1551,239,0
AA,SNA,DFW,758,1242,1205,0
AA,DFW,MCI,1712,1841,460,1
AA,DFW,RNO,944,1128,1345,0
AS,HNL,PDX,1056,1932,2603,0
B6,MCO,BOS,1457,1746,1121,0
DL,ATL,IAD,2200,2344,534,0
DL,MSP,PHL,1946,2311,980,0
DL,BOS,DTW,729,939,632,1
DL,EYW,ATL,1744,1932,646,0
DL,SLC,PHX,827,912,507,0
EV,ABQ,IAH,849,1149,744,0
EV,ORD,CVG,1029,1242,265,0
EV,FAY,ATL,1011,1151,331,0
F9,RSW,DEN,658,903,1607,0
MQ,ORD,SYR,1456,1752,607,0
MQ,OMA,ORD,1919,2048,416,0
NK,DFW,OAK,559,753,1457,0
OO,PDX,SLC,923,1205,630,0
OO,LAX,MRY,1621,1737,266,0
OO,SMX,LAX,555,707,134,0
UA,IAH,CLE,1601,1944,1091,0
UA,DCA,IAH,1743,2001,1208,0
US,PHX,SAN,1703,1820,304,0
US,PHL,CLT,1530,1705,449,0
VX,SAN,SFO,927,1104,447,0
WN,MAF,DAL,640,753,319,0
WN,ELP,LAX,1509,1618,715,0
WN,LAS,SFO,1826,1958,414,1
WN,PHX,SMF,1731,1918,647,0
WN,SLC,OAK,2012,2105,588,0
WN,MDW,LGA,1719,2004,725,0
WN,PHX,BWI,559,1314,1999,0
UA,IAH,SFO,857,1127,1635,0
AA,DFW,PIT,1821,2203,1067,0
AA,ORD,TPA,1745,2126,1012,1
AS,SEA,ANC,1930,2152,1448,1
B6,FLL,BOS,801,1059,1237,0
B6,PBI,HPN,1812,2050,1056,1
DL,SFO,ATL,4,726,2139,0
DL,BDL,ATL,1833,2113,859,0
DL,MSP,DTW,2002,2240,528,0
DL,BOS,MCO,835,1136,1121,0
DL,SDF,ATL,723,833,321,0
EV,DCA,CLE,1020,1144,310,0
EV,ATL,PIA,2056,2202,565,0
EV,ATL,LFT,935,1016,503,0
F9,PHL,ORD,1040,1206,678,0
MQ,ORD,FAR,748,950,557,0
MQ,JAN,DFW,1348,1522,408,0
OO,MCI,SFO,1647,1849,1499,0
OO,MOT,MSP,1735,1924,449,1
OO,SBP,LAX,1404,1503,156,0
OO,LAX,SAT,805,1254,1211,0
UA,FLL,EWR,758,1047,1065,0
UA,EWR,MIA,753,1050,1085,0
UA,DEN,SFO,555,734,967,0
US,CLT,PHX,1432,1617,1773,0
US,BOS,LGA,1655,1840,184,0
