MQ,CMI,1817,1913,0
UA,ORD,1808,2102,1
WN,DEN,2056,2217,1
UA,CMH,808,913,0
EV,ORD,2207,58,1
EV,JAN,1548,1815,1
DL,FLL,940,1126,0
WN,MDW,833,950,1
AA,TUL,1137,1254,0
US,PHX,1454,1803,1
OO,MOT,1735,1924,1
9E,DTW,1535,1558,0
DL,JFK,1539,1836,1
WN,OKC,1705,1751,1
OO,LAX,1323,1419,1
B6,BWI,1559,1724,0
MQ,DFW,1216,1531,0
WN,HOU,1038,1327,0
US,CLT,1127,1247,0
OO,SBA,1120,1306,1
EV,HSV,1351,1536,0
WN,STL,1312,1426,0
DL,DTW,2146,2354,0
DL,ATL,2206,2352,0
FL,IND,830,1038,0
EV,OAJ,556,717,0
MQ,ORD,1004,1050,0
B6,BOS,2016,2232,0
NK,LAS,2018,2123,0
WN,BHM,914,1136,0
US,PHX,1027,1358,0
EV,CRP,1530,1617,1
WN,MDW,1452,1700,0
US,PHL,1152,1356,0
OO,ORD,936,1122,0
WN,MCO,1346,1429,0
DL,DTW,838,1033,0
DL,TPA,1622,1755,1
UA,LAX,702,1544,0
DL,ATL,1458,1521,0
AA,MIA,1123,1324,1
MQ,SHV,1305,1416,1
AA,DCA,1434,1527,1
UA,DEN,817,901,0
B6,IAD,2144,2311,1
UA,LAX,612,731,0
DL,ATL,1343,1337,0
OO,DFW,1309,1413,0
WN,PIT,649,856,0
B6,JFK,659,1051,0
9E,OMA,1057,1234,0
B6,LAS,2226,621,0
US,PHX,1649,1841,0
WN,MDW,1446,1705,0
UA,LAX,2229,612,0
OO,FAR,1810,1912,1
B6,SYR,1126,1242,0
DL,LGA,704,957,0
OO,IAH,1925,2327,1
OO,CVG,1636,1726,0
OO,FLG,654,744,0
OO,MSP,622,837,0
WN,DAL,1545,1631,0
DL,DCA,1647,1911,0
OO,ORD,2054,2338,1
UA,ORD,2034,2323,1
UA,PIT,1047,1116,1
DL,DTW,1959,2321,0
DL,SEA,702,936,0
EV,IAH,1630,1740,0
HA,SEA,1000,1254,0
OO,LAX,827,941,0
WN,CLT,1041,1238,0
OO,LAX,1430,1521,0
AA,SEA,606,1211,0
AA,LGA,648,950,0
F9,DFW,2220,2314,0
EV,BNA,714,925,0
F9,DEN,1117,1412,0
US,ORD,1550,1835,0
UA,MCO,837,1026,0
OO,PHX,1208,1424,0
DL,CLT,601,729,0
EV,CVG,1735,1856,1
B6,FLL,1147,1448,0
OO,MRY,1601,1755,0
AS,SLC,1323,1413,1
MQ,GRI,1440,1622,0
F9,DTW,1913,2014,0
WN,MCO,1721,1841,0
DL,MSP,1346,1723,0
US,PHL,1835,2047,1
OO,EUG,707,828,0
UA,SFO,627,1244,0
EV,EWR,1317,1458,1
DL,DTW,2108,2236,1
US,PHX,812,1413,0
DL,ATL,2027,2145,1
UA,SFO,1906,2034,1
OO,COS,850,1034,1
9E,MSP,2151,2249,0
MQ,DFW,841,1156,0
UA,LAX,1342,1844,0
WN,BWI,1622,1724,0
WN,LAX,2002,100,1
YV,CLT,1816,2008,1
WN,TPA,856,1016,0
B6,LGA,1154,1511,1
OO,LAX,845,1006,1
WN,DSM,600,714,0
US,JAX,1522,1633,0
WN,BNA,919,1116,0
US,PHL,2055,2207,0
WN,ELP,1544,1642,0
WN,SAN,1234,1354,0
OO,LAX,1509,1602,1
OO,PHX,716,809,0
AA,LGA,1059,1351,0
AS,SEA,1226,1502,1
WN,ATL,2220,2351,0
UA,EWR,858,1158,0
UA,AUS,756,937,0
HA,HNL,2008,2054,0
WN,LAX,2029,2134,0
OO,MKE,851,1056,0
B6,HOU,1254,1753,0
US,PHX,1053,1302,0
AA,BOS,1101,1408,0
EV,IAH,2035,2216,1
US,FLL,1012,1215,0
EV,CVG,1140,1308,0
9E,DTW,1235,1323,0
OO,SLC,1017,1319,0
DL,CAK,747,922,0
US,DCA,1055,1148,0
US,PHX,1938,1959,0
DL,SLC,1504,1600,0
US,CLT,2205,2345,0
WN,ATL,2130,2249,0
AA,STL,1427,1603,1
B6,FLL,2023,2301,0
WN,DEN,557,727,0
VX,JFK,1623,1921,1
OO,MFR,1253,1431,1
WN,LAS,1434,1954,1
WN,DAL,757,851,0
US,LAS,1357,2105,0
EV,CVG,1600,1740,0
WN,DEN,555,905,0
WN,LAS,1928,2156,1
EV,BHM,1027,1205,0
FL,BOS,601,752,0
EV,ORD,1401,1641,0
WN,CAK,526,623,0
WN,HOU,844,936,0
DL,PHX,1040,1314,1
EV,MSY,825,1021,0
AA,PDX,1529,2059,0
NK,ACY,649,925,0
F9,DEN,1908,2346,0
DL,ALB,1234,1502,0
MQ,SGF,1653,1826,0
DL,ABQ,1312,1817,0
EV,EWR,1947,2214,1
MQ,RST,1708,1811,0
US,BWI,1715,1835,0
FL,ATL,2305,51,1
9E,JFK,1448,1558,0
FL,MKE,1744,2032,0
US,RDU,1521,1728,0
WN,MCO,2021,2106,0
WN,BOS,1020,1147,1
WN,MHT,1246,1408,0
B6,FLL,1955,2251,1
UA,BUF,703,803,0
AS,SEA,746,909,1
DL,LGA,1800,1958,0
9E,RDU,740,927,0
AA,DFW,1342,1441,0
WN,HOU,906,1018,0
AA,MIA,805,1016,0
WN,SAN,1135,1257,0
EV,ORD,1833,1919,1
EV,BUF,1046,1140,1
WN,BUF,1428,1528,0
EV,OKC,1755,2002,1
DL,FLL,539,717,0
OO,SLC,1709,1825,1
EV,BHM,1212,1420,0
DL,ATL,935,1122,0
B6,JFK,1744,1845,1
OO,ORD,1357,1551,1
EV,OAJ,556,717,0
UA,IAD,1754,2059,1
WN,SAN,1341,2100,1
AS,LAS,1606,1818,0
US,PHX,812,1413,0
US,CLT,2210,2323,0
UA,MCO,1602,1822,1
AA,MIA,1251,1612,1
WN,LAS,1347,1444,1
EV,ORD,944,1149,0
AS,EWR,713,957,0
US,SAN,2241,544,0
US,PHL,1911,2313,1
HA,KOA,1121,1155,0
US,PHL,2043,2157,0
WN,MCI,1047,1429,0
MQ,SJT,1248,1337,0
UA,LAS,1006,1118,1
MQ,DCA,1927,2036,0
WN,BWI,1749,1945,1
OO,SAT,1338,1434,1
US,HNL,2241,720,0
US,ALB,800,1017,0
US,CLT,1449,1601,0
DL,ATL,1458,1612,1
AA,DFW,1935,2134,1
VX,SFO,914,1748,0
DL,MSP,1805,1856,1
9E,CAK,1731,1838,0
DL,MSY,1457,1713,0
MQ,ABI,546,627,0
FL,IND,750,913,0
DL,ATL,1858,2002,0
AA,FLL,756,1050,0
WN,ONT,759,908,0
DL,ORD,1410,1631,0
WN,SAN,1657,1814,0
OO,CID,1402,1523,1
AA,MFE,616,805,0
UA,TPA,918,1125,0
EV,CRP,1448,1549,1
US,CMH,1744,1908,0
EV,MCI,1033,1234,1
WN,DAL,1157,1248,0
OO,IAH,1310,1613,0
OO,IAH,2000,2247,0
US,PDX,851,1130,0
AS,SEA,1926,2144,0
AS,SEA,1307,1544,0
US,CLT,1757,2042,0
DL,MSN,735,830,1
US,PHL,2057,2333,0
AS,OAK,612,812,0
WN,SMF,1726,1838,0
9E,JFK,803,1033,0
DL,ATL,2145,2348,0
DL,ATL,723,859,0
MQ,CLL,1832,1934,0
US,OAK,1237,1434,0
EV,DEN,1102,1150,0
MQ,CVG,1110,1347,1
MQ,ORD,1402,1642,1
HA,HNL,1521,1602,0
AA,DFW,1411,1441,0
OO,IAH,1902,2204,0
9E,DTW,1005,1119,0
DL,MSP,1438,1755,0
DL,MSP,650,949,0
EV,RSW,844,1115,0
WN,LAX,1143,1933,0
AA,SFO,554,1113,0
US,CLT,1022,1132,1
US,TPA,1650,1920,1
WN,MCO,1412,1538,0
WN,MDW,2116,2347,1
WN,MCI,1047,1429,0
MQ,SDF,1234,1410,0
UA,SEA,1636,1821,0
WN,DAL,701,800,0
WN,LAS,841,1310,0
OO,LAX,1613,1723,0
B6,PBI,558,827,0
9E,DTW,1548,1707,0
